epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
5,291.55,1.67883,1.13245,1.3262,0.79712,0.72102,0.7995,0.42534,1.68811,1.13556,1.34722,0.0009604,0.0009604,0.0009604
6,349.234,1.62341,1.07286,1.29152,0.83565,0.70648,0.82891,0.46784,1.63545,1.00854,1.29845,0.0009505,0.0009505,0.0009505
7,408.346,1.58454,1.02895,1.27929,0.80971,0.75789,0.83699,0.4514,1.59421,1.15424,1.31185,0.0009406,0.0009406,0.0009406
8,466.53,1.54343,0.99681,1.2619,0.88402,0.79298,0.88571,0.50492,1.51501,0.8601,1.26856,0.0009307,0.0009307,0.0009307
9,523.958,1.53952,0.98246,1.25419,0.85962,0.78856,0.87622,0.50626,1.52975,0.88987,1.23897,0.0009208,0.0009208,0.0009208
10,582.061,1.51879,0.94776,1.24511,0.90649,0.82,0.90902,0.4808,1.65359,0.82941,1.2887,0.0009109,0.0009109,0.0009109
11,641.454,1.49108,0.91617,1.22898,0.88129,0.78737,0.88324,0.50753,1.53349,0.88064,1.26819,0.000901,0.000901,0.000901
12,699.756,1.48059,0.90136,1.22074,0.88884,0.84172,0.91892,0.51921,1.57547,0.75984,1.26396,0.0008911,0.0008911,0.0008911
13,757.76,1.45285,0.88939,1.20992,0.89805,0.82632,0.90848,0.55977,1.37912,0.77406,1.1884,0.0008812,0.0008812,0.0008812
14,816.271,1.44127,0.87158,1.1968,0.90807,0.86306,0.93196,0.55498,1.47918,0.75869,1.22266,0.0008713,0.0008713,0.0008713
15,874.188,1.43003,0.85808,1.19975,0.92819,0.85263,0.93499,0.53517,1.55736,0.74521,1.24964,0.0008614,0.0008614,0.0008614
16,932.605,1.4107,0.84406,1.19245,0.8869,0.84281,0.92034,0.58257,1.32248,0.76263,1.1634,0.0008515,0.0008515,0.0008515
17,990.994,1.4015,0.83607,1.18596,0.91666,0.86246,0.93775,0.58876,1.3929,0.70473,1.23816,0.0008416,0.0008416,0.0008416
18,1048.72,1.39267,0.8273,1.18269,0.93731,0.88281,0.9477,0.56734,1.46055,0.68824,1.22809,0.0008317,0.0008317,0.0008317
19,1106.72,1.38517,0.81708,1.17846,0.93593,0.88,0.94646,0.61667,1.28127,0.73964,1.15915,0.0008218,0.0008218,0.0008218
20,1165.16,1.38491,0.80525,1.18213,0.94282,0.88737,0.95342,0.61526,1.32587,0.64614,1.16244,0.0008119,0.0008119,0.0008119
21,1224.92,1.36183,0.79669,1.17163,0.92574,0.88792,0.95083,0.61575,1.30218,0.69682,1.16111,0.000802,0.000802,0.000802
22,1282.98,1.3513,0.78786,1.16563,0.90814,0.8607,0.93105,0.61132,1.27302,0.67534,1.13806,0.0007921,0.0007921,0.0007921
23,1341.28,1.34718,0.77486,1.16418,0.93547,0.90038,0.95742,0.61729,1.31233,0.62896,1.15521,0.0007822,0.0007822,0.0007822
24,1399.32,1.33267,0.76907,1.15834,0.93924,0.90032,0.96033,0.63274,1.23694,0.6523,1.12161,0.0007723,0.0007723,0.0007723
25,1458.32,1.32927,0.76348,1.15654,0.95019,0.9036,0.96251,0.64197,1.24446,0.60519,1.1177,0.0007624,0.0007624,0.0007624
26,1516.71,1.31215,0.75114,1.1466,0.93614,0.90531,0.95736,0.63937,1.26796,0.62097,1.14874,0.0007525,0.0007525,0.0007525
27,1574.51,1.3123,0.74864,1.14675,0.94082,0.89252,0.95837,0.66028,1.20231,0.60989,1.11692,0.0007426,0.0007426,0.0007426
28,1632.39,1.30204,0.74235,1.14044,0.95343,0.90281,0.96171,0.65517,1.22761,0.58902,1.11711,0.0007327,0.0007327,0.0007327
29,1689.88,1.29589,0.73153,1.14287,0.95425,0.90744,0.96245,0.66681,1.15766,0.57577,1.07964,0.0007228,0.0007228,0.0007228
30,1748.16,1.28463,0.72406,1.13159,0.9378,0.91018,0.95924,0.60568,1.33591,0.64969,1.15442,0.0007129,0.0007129,0.0007129
31,1807.26,1.28875,0.72344,1.13347,0.94483,0.91158,0.96598,0.67202,1.14318,0.56752,1.09777,0.000703,0.000703,0.000703
32,1864.98,1.27464,0.71985,1.12888,0.95429,0.90101,0.96216,0.67128,1.14008,0.589,1.07992,0.0006931,0.0006931,0.0006931
33,1922.58,1.26888,0.71398,1.12273,0.94654,0.9186,0.9689,0.64086,1.26279,0.58091,1.13441,0.0006832,0.0006832,0.0006832
34,1980.13,1.2555,0.70411,1.12162,0.943,0.90558,0.96512,0.6805,1.13757,0.56813,1.08184,0.0006733,0.0006733,0.0006733
35,2037.75,1.25228,0.69798,1.11817,0.95132,0.89614,0.96047,0.66871,1.15676,0.58664,1.08842,0.0006634,0.0006634,0.0006634
36,2096.06,1.24536,0.69211,1.1171,0.9533,0.8993,0.96546,0.68048,1.17199,0.58413,1.09797,0.0006535,0.0006535,0.0006535
37,2154.35,1.2541,0.69709,1.11781,0.95547,0.90351,0.9688,0.68906,1.094,0.55639,1.05895,0.0006436,0.0006436,0.0006436
38,2212.38,1.24334,0.68595,1.11262,0.95758,0.91825,0.96922,0.6941,1.10149,0.54956,1.06743,0.0006337,0.0006337,0.0006337
39,2269.82,1.23895,0.68468,1.11073,0.95774,0.92772,0.97239,0.64075,1.26004,0.56551,1.10559,0.0006238,0.0006238,0.0006238
40,2328.41,1.23285,0.67899,1.10653,0.95977,0.93123,0.9722,0.68265,1.12767,0.5314,1.07696,0.0006139,0.0006139,0.0006139
41,2386.32,1.22628,0.67354,1.10419,0.96172,0.9256,0.97157,0.6905,1.15482,0.55699,1.10329,0.000604,0.000604,0.000604
42,2443.08,1.23635,0.67451,1.11155,0.96538,0.93929,0.97869,0.67198,1.19781,0.52541,1.09099,0.0005941,0.0005941,0.0005941
43,2503.24,1.21891,0.66504,1.10368,0.96035,0.93483,0.97583,0.69809,1.09036,0.53008,1.06304,0.0005842,0.0005842,0.0005842
44,2561.51,1.19599,0.65484,1.09171,0.95983,0.93056,0.97468,0.68912,1.11941,0.525,1.06695,0.0005743,0.0005743,0.0005743
45,2618.6,1.20848,0.66078,1.10094,0.96568,0.93794,0.97988,0.68876,1.15205,0.52348,1.07803,0.0005644,0.0005644,0.0005644
46,2677.27,1.20349,0.65456,1.09279,0.96025,0.9239,0.97392,0.70359,1.11137,0.53804,1.07309,0.0005545,0.0005545,0.0005545
47,2735.07,1.19748,0.6475,1.08888,0.96771,0.93591,0.97508,0.68382,1.1449,0.5169,1.0671,0.0005446,0.0005446,0.0005446
