epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,2266.42,1.11275,0.59666,1.10773,0.96187,0.96397,0.98626,0.73616,1.03614,0.47782,1.043,0.0006238,0.0006238,0.0006238
21,2378.29,1.09889,0.58689,1.09942,0.96617,0.96232,0.98801,0.75242,0.97252,0.45922,1.02677,0.000604,0.000604,0.000604
22,2490.8,1.09291,0.5808,1.09897,0.96978,0.96105,0.98676,0.73631,1.02327,0.4572,1.04023,0.0005842,0.0005842,0.0005842
23,2603.35,1.08501,0.57497,1.09446,0.96572,0.96678,0.98839,0.74327,1.01011,0.45263,1.03756,0.0005644,0.0005644,0.0005644
24,2716.87,1.0726,0.56634,1.0889,0.96331,0.95835,0.98753,0.75677,0.91598,0.44898,1.01088,0.0005446,0.0005446,0.0005446
25,2830.26,1.07248,0.5649,1.08834,0.96508,0.96397,0.98816,0.75999,0.94837,0.43882,1.00772,0.0005248,0.0005248,0.0005248
26,2943.99,1.05737,0.55743,1.07848,0.97387,0.9594,0.98928,0.7738,0.89444,0.42579,0.99747,0.000505,0.000505,0.000505
27,3056.72,1.04904,0.55013,1.07705,0.97762,0.97239,0.99127,0.77067,0.94583,0.42178,1.01093,0.0004852,0.0004852,0.0004852
28,3169.46,1.04577,0.54661,1.07405,0.97181,0.96865,0.99164,0.77759,0.88631,0.41625,0.99333,0.0004654,0.0004654,0.0004654
29,3282.6,1.03361,0.53746,1.0685,0.97652,0.96818,0.99115,0.78192,0.87887,0.4095,0.98523,0.0004456,0.0004456,0.0004456
30,3395.76,1.02636,0.53103,1.06354,0.97772,0.96497,0.9912,0.78202,0.90375,0.40647,0.99747,0.0004258,0.0004258,0.0004258
31,3509.67,1.02034,0.52994,1.06239,0.97913,0.97052,0.99099,0.78972,0.8742,0.39972,0.99305,0.000406,0.000406,0.000406
32,3622.64,1.01175,0.52167,1.05944,0.98061,0.97567,0.99294,0.7784,0.91818,0.4025,1.00379,0.0003862,0.0003862,0.0003862
33,3736.11,1.00774,0.51776,1.05227,0.97751,0.97801,0.99238,0.78545,0.89054,0.39772,0.99317,0.0003664,0.0003664,0.0003664
34,3848.5,0.98815,0.5136,1.04601,0.97799,0.97714,0.99256,0.79079,0.86367,0.39073,0.98278,0.0003466,0.0003466,0.0003466
35,3960.91,0.97899,0.50636,1.04108,0.98026,0.98035,0.99371,0.79192,0.86231,0.3872,0.98259,0.0003268,0.0003268,0.0003268
36,4074.69,0.97572,0.50023,1.03916,0.98353,0.97821,0.99346,0.79723,0.85696,0.38145,0.98125,0.000307,0.000307,0.000307
37,4187.36,0.97036,0.49483,1.03625,0.98411,0.97847,0.99351,0.80448,0.83902,0.37613,0.97548,0.0002872,0.0002872,0.0002872
